model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_url
VF MPV 7|||safety|An toàn|rollover_mitigation|Chức năng chống lật ROM|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||safety|An toàn|emergency_stop_signal|Đèn báo phanh khẩn cấp ESS|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||adas|Hỗ trợ lái nâng cao (ADAS)|cruise_control_type|Kiểm soát hành trình|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||adas|Hỗ trợ lái nâng cao (ADAS)|rearview_camera|Camera lùi|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||adas|Hỗ trợ lái nâng cao (ADAS)|rear_parking_sensor|Cảm biến đỗ xe phía sau|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF 2|TieuChuan||dimension|Kích thước & trọng lượng|length_mm|Chiều dài tổng thể|3090|mm|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||dimension|Kích thước & trọng lượng|width_mm|Chiều rộng tổng thể|1496|mm|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||dimension|Kích thước & trọng lượng|height_mm|Chiều cao tổng thể|1663.2|mm|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||dimension|Kích thước & trọng lượng|wheelbase_mm|Chiều dài cơ sở|2.065|mm|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||dimension|Kích thước & trọng lượng|ground_clearance_mm|Khoảng sáng gầm xe|166,3|mm|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||powertrain|Hệ thống truyền động|power_kw|Công suất tối đa|30|kW|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||powertrain|Hệ thống truyền động|torque_nm|Mô-men xoắn cực đại|65|Nm|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||powertrain|Hệ thống truyền động|top_speed_kmh|Tốc độ tối đa|80|km/h|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||battery|Pin & sạc|range_km|Phạm vi di chuyển|210|km|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||battery|Pin & sạc|battery_kwh|Dung lượng pin khả dụng|18,3|kWh|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||powertrain|Hệ thống truyền động|mobile_charger_type|Dây sạc di động|PHỤ KIỆN CHÍNH HÃNG SẠC DC 3 kW||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
